framework,requirement,weight,score,weighted_score
GDPR,data_minimization,1.0,0.9649014245903369,0.9649014245903369
GDPR,purpose_limitation,0.9,0.9458520709648645,0.851266863868378
GDPR,storage_limitation,0.8,0.9694306561430207,0.7755445249144166
GDPR,accuracy,0.9,0.9956908956922407,0.8961218061230166
GDPR,integrity_confidentiality,1.0,0.9429753987582998,0.9429753987582998
GDPR,accountability,0.95,0.9429758912915246,0.8958270967269483
GDPR,right_to_erasure,0.85,0.9973763844652217,0.8477699267954384
GDPR,data_portability,0.7,0.9730230418745872,0.681116129312211
HIPAA,access_control,1.0,0.9359157684219513,0.9359157684219513
HIPAA,audit_controls,0.95,0.9662768013075789,0.9179629612421999
HIPAA,integrity_controls,0.9,0.9360974692156261,0.8424877222940635
HIPAA,transmission_security,0.95,0.9360281073928922,0.8892267020232476
HIPAA,authentication,0.9,0.957258868146981,0.861532981332283
HIPAA,encryption,1.0,0.8926015926602661,0.8926015926602661
HIPAA,deidentification,0.95,0.898252465024609,0.8533398417733785
CCPA,right_to_know,0.9,0.9331313741227708,0.8398182367104937
CCPA,right_to_delete,0.85,0.9196150663899673,0.7816728064314722
CCPA,right_to_opt_out,0.95,0.9594274199778582,0.9114560489789653
CCPA,non_discrimination,0.8,0.9227592777343636,0.7382074221874909
CCPA,disclosure_requirements,0.9,0.9076308889599413,0.8168678000639471
CCPA,data_security,1.0,0.9939694630676466,0.9939694630676466
