epsilon,num_queries,basic_composition,advanced_composition
0.1,10,1.0,0.316227766016838
0.1,50,5.0,0.7071067811865476
0.1,100,10.0,1.0
0.1,200,20.0,1.4142135623730951
0.5,10,5.0,1.5811388300841898
0.5,50,25.0,3.5355339059327378
0.5,100,50.0,5.0
0.5,200,100.0,7.0710678118654755
1.0,10,10.0,3.1622776601683795
1.0,50,50.0,7.0710678118654755
1.0,100,100.0,10.0
1.0,200,200.0,14.142135623730951
2.0,10,20.0,6.324555320336759
2.0,50,100.0,14.142135623730951
2.0,100,200.0,20.0
2.0,200,400.0,28.284271247461902
4.0,10,40.0,12.649110640673518
4.0,50,200.0,28.284271247461902
4.0,100,400.0,40.0
4.0,200,800.0,56.568542494923804
