total_time,zkp_time,abe_time,dp_time,total_gas,zkp_gas,abe_gas,dataset_size,trial
0.06848406791687012,0.019958972930908203,0.001688241958618164,0.01,351284,251284,100000,1000,0
0.06264996528625488,0.01827096939086914,0.0015952587127685547,0.01,340769,240769,100000,1000,1
0.06218600273132324,0.017680883407592773,0.0015690326690673828,0.01,348666,248666,100000,1000,2
0.0708777904510498,0.020220279693603516,0.001634836196899414,0.01,341267,241267,100000,1000,3
0.06713509559631348,0.017886877059936523,0.0016083717346191406,0.01,348433,248433,100000,1000,4
0.06593894958496094,0.018342971801757812,0.0015568733215332031,0.01,348226,248226,100000,1000,5
0.06290507316589355,0.015084028244018555,0.0015988349914550781,0.01,352990,252990,100000,1000,6
0.06676506996154785,0.01867389678955078,0.0016398429870605469,0.01,341016,241016,100000,1000,7
0.06339001655578613,0.02143096923828125,0.0015990734100341797,0.01,356448,256448,100000,1000,8
0.07187104225158691,0.019908666610717773,0.0016727447509765625,0.01,343561,243561,100000,1000,9
0.11555123329162598,0.023183107376098633,0.0016248226165771484,0.05,354039,254039,100000,5000,0
0.12415909767150879,0.024328231811523438,0.0016241073608398438,0.05,357868,257868,100000,5000,1
0.10635805130004883,0.020248889923095703,0.0015981197357177734,0.05,349789,249789,100000,5000,2
0.11748194694519043,0.021895170211791992,0.0014920234680175781,0.05,349474,249474,100000,5000,3
0.12000894546508789,0.02036881446838379,0.0015020370483398438,0.05,357675,257675,100000,5000,4
0.10911202430725098,0.027170896530151367,0.0016257762908935547,0.05,358091,258091,100000,5000,5
0.1291029453277588,0.02510523796081543,0.0016040802001953125,0.05,349339,249339,100000,5000,6
0.10598397254943848,0.02335810661315918,0.0012898445129394531,0.05,351111,251111,100000,5000,7
0.10753202438354492,0.01910400390625,0.0013859272003173828,0.05,359492,259492,100000,5000,8
0.12119102478027344,0.02462601661682129,0.0015950202941894531,0.05,345592,245592,100000,5000,9
0.16586804389953613,0.027055978775024414,0.00144195556640625,0.1,351296,251296,100000,10000,0
0.16274309158325195,0.02410125732421875,0.001592874526977539,0.1,357453,257453,100000,10000,1
0.17095398902893066,0.022660017013549805,0.0015900135040283203,0.1,341409,241409,100000,10000,2
0.16809606552124023,0.028224945068359375,0.0017058849334716797,0.1,353121,253121,100000,10000,3
0.1682591438293457,0.02537703514099121,0.0015871524810791016,0.1,344142,244142,100000,10000,4
0.16316699981689453,0.022505998611450195,0.001667022705078125,0.1,345237,245237,100000,10000,5
0.1666581630706787,0.026144027709960938,0.0016849040985107422,0.1,344452,244452,100000,10000,6
0.1712970733642578,0.024071931838989258,0.001589059829711914,0.1,344000,244000,100000,10000,7
0.16331005096435547,0.024873971939086914,0.001585245132446289,0.1,351338,251338,100000,10000,8
0.174299955368042,0.027918100357055664,0.0015850067138671875,0.1,353584,253584,100000,10000,9
0.5608010292053223,0.02434563636779785,0.0016560554504394531,0.5,341167,241167,100000,50000,0
0.5631086826324463,0.02378106117248535,0.0015952587127685547,0.5,353659,253659,100000,50000,1
0.5745048522949219,0.029433012008666992,0.0017180442810058594,0.5,355781,255781,100000,50000,2
0.5670783519744873,0.02885293960571289,0.0016052722930908203,0.5,345870,245870,100000,50000,3
0.5903959274291992,0.02698516845703125,0.007061004638671875,0.5,356644,256644,100000,50000,4
0.5585522651672363,0.0274350643157959,0.001631021499633789,0.5,343228,243228,100000,50000,5
0.5705611705780029,0.027918100357055664,0.0016009807586669922,0.5,344243,244243,100000,50000,6
0.567896842956543,0.02966785430908203,0.0016319751739501953,0.5,353221,253221,100000,50000,7
0.575463056564331,0.033674001693725586,0.0016939640045166016,0.5,347617,247617,100000,50000,8
0.5621051788330078,0.028920888900756836,0.0020678043365478516,0.5,347206,247206,100000,50000,9
1.0731918811798096,0.0328519344329834,0.0016448497772216797,1.0,355585,255585,100000,100000,0
1.0761640071868896,0.026449203491210938,0.0021829605102539062,1.0,345109,245109,100000,100000,1
1.0739657878875732,0.024631738662719727,0.0017650127410888672,1.0,359850,259850,100000,100000,2
1.0731549263000488,0.03132796287536621,0.0013892650604248047,1.0,353076,253076,100000,100000,3
1.0652928352355957,0.028989791870117188,0.0012638568878173828,1.0,356724,256724,100000,100000,4
1.0753419399261475,0.03047919273376465,0.0018651485443115234,1.0,358631,258631,100000,100000,5
1.070749044418335,0.03609299659729004,0.0018968582153320312,1.0,356610,256610,100000,100000,6
1.0601401329040527,0.032881975173950195,0.001796722412109375,1.0,341633,241633,100000,100000,7
1.0694580078125,0.03325676918029785,0.0017368793487548828,1.0,354478,254478,100000,100000,8
1.0753638744354248,0.03318977355957031,0.0015232563018798828,1.0,341517,241517,100000,100000,9
